date,district,branch,active_customers,new_connections,festival_indicator,price,stock,refill_bookings
2022-01-02,Madurai,North,157512,3743,0,928,7423,25932
2022-01-02,Madurai,South,167796,4190,0,898,11874,20151
2022-01-02,Madurai,East,232479,1254,1,853,14183,34299
2022-01-02,Madurai,West,193946,1748,0,903,17586,7557
2022-01-02,Trichy,Central,88360,198,1,945,16207,26357
2022-01-02,Trichy,North,169121,3877,0,867,5987,27399
2022-01-02,Trichy,South,178391,1318,0,832,6555,46914
2022-01-02,Trichy,East,221890,4665,0,837,16565,8436
2022-01-02,Trichy,West,126213,3454,0,820,9022,46919
2022-01-02,Salem,Central,186672,4648,0,847,14946,42410
2022-01-02,Salem,North,159616,116,1,845,5444,48525
2022-01-02,Salem,South,228274,1160,1,845,14468,5699
2022-01-02,Salem,East,235312,1239,0,866,3816,37745
2022-01-02,Salem,West,204165,669,1,823,14913,12455
2022-01-03,Coimbatore,Central,54014,3001,0,926,18538,15729
2022-01-03,Coimbatore,North,226089,884,1,936,14533,45111
2022-01-03,Coimbatore,South,155510,2906,0,849,12647,13716
2022-01-03,Coimbatore,East,160627,4880,0,807,8655,45941
2022-01-03,Coimbatore,West,120031,2801,1,942,15403,37097
2022-01-03,Chennai,Central,192038,2082,0,862,19532,27677
2022-01-03,Chennai,North,105609,1815,0,814,17338,7491
2022-01-03,Chennai,South,163632,3224,0,907,18388,26606
2022-01-03,Chennai,East,137235,4969,0,915,6142,20202
2022-01-03,Chennai,West,220806,4464,1,905,10311,22214
2022-01-03,Madurai,Central,78251,1469,0,916,7949,6150
2022-01-03,Madurai,North,150235,1112,0,921,18896,12805
2022-01-03,Madurai,South,55237,659,0,916,15184,8343
2022-01-03,Madurai,East,194572,4170,0,868,17125,13130
2022-01-03,Madurai,West,117215,3606,1,828,11435,49078
2022-01-03,Trichy,Central,128832,2241,1,943,12457,40247
2022-01-03,Trichy,North,171172,4746,0,900,7881,28049
2022-01-03,Trichy,South,148116,2949,0,937,13922,40257
2022-01-03,Trichy,East,59823,2916,0,803,7878,35977
2022-01-03,Trichy,West,144704,995,0,883,8833,16938
2022-01-03,Salem,Central,216267,1668,0,900,7387,45770
2022-01-03,Salem,North,88304,4013,0,828,12636,25491
2022-01-03,Salem,South,88494,3473,0,834,18281,20305
2022-01-03,Salem,East,125353,3169,1,904,5267,22209
2022-01-03,Salem,West,139588,1616,1,919,9587,38496
2022-01-04,Coimbatore,Central,110692,2908,0,900,4967,22506
2022-01-04,Coimbatore,North,135999,1671,0,895,9357,37479
2022-01-04,Coimbatore,South,111476,3951,0,812,12518,7914
2022-01-04,Coimbatore,East,202424,4052,0,911,2728,5698
2022-01-04,Coimbatore,West,89954,495,1,946,6171,9360
2022-01-04,Chennai,Central,216342,1919,1,927,7486,13335
2022-01-04,Chennai,North,136900,3240,0,824,13130,26972
2022-01-04,Chennai,South,168324,3322,1,838,13174,27925
2022-01-04,Chennai,East,176174,4829,0,874,8801,42614
2022-01-04,Chennai,West,229208,1053,0,806,15964,44081
2022-01-04,Madurai,Central,243928,3093,1,804,15807,47348
2022-01-04,Madurai,North,207504,1465,1,870,6312,6324
2022-01-04,Madurai,South,141267,1927,0,818,8588,43069
2022-01-04,Madurai,East,76790,4286,0,818,17485,49482
2022-01-04,Madurai,West,136188,4848,0,925,15116,30470
2022-01-04,Trichy,Central,223416,2058,1,891,2504,38982
2022-01-04,Trichy,North,78016,923,0,916,18517,7105
2022-01-04,Trichy,South,86395,4880,1,860,6910,25559
2022-01-04,Trichy,East,143396,4398,1,946,15843,49472
2022-01-04,Trichy,West,164065,1356,0,942,11588,49597
2022-01-04,Salem,Central,156357,3430,1,811,3353,15975
2022-01-04,Salem,North,61023,457,0,916,11337,41487
2022-01-04,Salem,South,134665,639,0,840,6835,25159
2022-01-04,Salem,East,228677,2608,0,940,3581,10713
2022-01-04,Salem,West,106178,355,0,809,7124,6015
2022-01-05,Coimbatore,Central,111813,3236,0,810,6158,25309
2022-01-05,Coimbatore,North,56970,4884,1,897,12344,45034
2022-01-05,Coimbatore,South,58702,484,0,854,14763,23384
2022-01-05,Coimbatore,East,241172,1768,1,822,5636,15916
2022-01-05,Coimbatore,West,54809,4278,0,877,7997,39816
2022-01-05,Chennai,Central,95106,4880,0,912,14775,47783
2022-01-05,Chennai,North,142193,3519,0,838,16489,48125
2022-01-05,Chennai,South,99922,4062,0,853,10427,46348
2022-01-05,Chennai,East,175917,4958,0,911,17254,49238
2022-01-05,Chennai,West,51252,4081,1,902,17781,18051
2022-01-05,Madurai,Central,56949,1429,0,829,12209,22715
2022-01-05,Madurai,North,144456,4361,0,878,6637,9854
2022-01-05,Madurai,South,233401,2228,1,931,18521,24856
2022-01-05,Madurai,East,69963,3131,0,805,16388,10569
2022-01-05,Madurai,West,119836,3918,0,914,8254,22144
2022-01-05,Trichy,Central,205286,3545,0,931,14647,47679
2022-01-05,Trichy,North,222312,3366,1,892,19055,15161
2022-01-05,Trichy,South,78732,3222,0,804,14891,42545
2022-01-05,Trichy,East,86668,623,0,833,12160,31329
2022-01-05,Trichy,West,162428,2396,0,855,14394,24262
2022-01-05,Salem,Central,168831,3744,0,835,15568,19178
2022-01-05,Salem,North,100428,2866,0,855,15013,13717
2022-01-05,Salem,South,177449,4223,0,929,18748,44577
2022-01-05,Salem,East,54621,1746,1,906,7870,6531
2022-01-05,Salem,West,168033,2006,0,918,14772,15267
2022-01-06,Coimbatore,Central,51062,2076,1,885,18509,9632
2022-01-06,Coimbatore,North,154592,3696,0,867,9561,13258
2022-01-06,Coimbatore,South,132152,2256,0,910,16369,17910
2022-01-06,Coimbatore,East,123479,4107,0,882,17913,40240
2022-01-06,Coimbatore,West,241076,2839,0,858,19260,8812
2022-01-06,Chennai,Central,209096,1412,0,820,3605,10622
2022-01-06,Chennai,North,122303,2663,1,861,12589,18918
2022-01-06,Chennai,South,208518,1260,0,830,19447,9324
2022-01-06,Chennai,East,126323,1019,0,865,10659,19043
2022-01-06,Chennai,West,209818,103,0,917,15917,23935
2022-01-06,Madurai,Central,63234,4389,0,935,17385,27700
2022-01-06,Madurai,North,147579,1241,1,819,6208,44051
2022-01-06,Madurai,South,177534,2148,0,863,11765,6828
2022-01-06,Madurai,East,51917,4334,1,876,16594,25128
2022-01-06,Madurai,West,173781,4885,0,804,11865,7219
2022-01-06,Trichy,Central,89809,2160,0,883,10512,6342
2022-01-06,Trichy,North,244148,2476,1,942,16231,37293
2022-01-06,Trichy,South,207686,3590,0,848,19988,36037
2022-01-06,Trichy,East,62219,335,0,916,10567,41298
2022-01-06,Trichy,West,246513,2735,0,800,7415,41159
2022-01-06,Salem,Central,93925,3743,1,871,11064,35523
2022-01-06,Salem,North,138861,1414,0,804,2077,45345
2022-01-06,Salem,South,175501,4327,0,841,12535,14510
2022-01-06,Salem,East,210359,3697,1,924,8565,10984
2022-01-06,Salem,West,152974,2290,0,944,3248,16246
2022-01-07,Coimbatore,Central,226630,4133,0,903,6018,16302
2022-01-07,Coimbatore,North,117506,297,1,934,19586,29519
2022-01-07,Coimbatore,South,237891,2135,1,837,3120,49028
2022-01-07,Coimbatore,East,114484,1050,0,885,6612,48872
2022-01-07,Coimbatore,West,96197,2953,0,846,8371,11359
2022-01-07,Chennai,Central,114435,3328,0,846,4891,8756
2022-01-07,Chennai,North,70609,194,0,835,2793,39884
2022-01-07,Chennai,South,121315,4206,1,903,12789,49165
2022-01-07,Chennai,East,194071,914,0,906,4443,15457
2022-01-07,Chennai,West,123319,3105,0,910,2827,32306
2022-01-07,Madurai,Central,220987,4551,1,932,7959,5126
2022-01-07,Madurai,North,102329,3156,0,921,9196,49327
2022-01-07,Madurai,South,249976,3897,1,800,13053,27116
2022-01-07,Madurai,East,217316,3517,1,856,5072,39622
2022-01-07,Madurai,West,234245,4762,0,942,4708,16694
2022-01-07,Trichy,Central,106264,1432,0,856,6212,37409
2022-01-07,Trichy,North,63224,674,0,889,12314,12973
2022-01-07,Trichy,South,189649,3381,0,890,5600,11783
2022-01-07,Trichy,East,91914,4958,0,824,3990,10299
2022-01-07,Trichy,West,226837,3672,1,828,6757,24097
2022-01-07,Salem,Central,191467,3220,0,883,19072,42011
2022-01-07,Salem,North,102853,441,0,903,11984,6759
2022-01-07,Salem,South,223021,2362,0,861,4079,7717
2022-01-07,Salem,East,109676,3476,0,829,9311,33071
2022-01-07,Salem,West,199521,868,1,912,13485,43565
2022-01-08,Coimbatore,Central,206594,3435,1,902,18002,18087
2022-01-08,Coimbatore,North,153177,1581,1,923,16422,21438
2022-01-08,Coimbatore,South,155947,1923,1,892,13271,15998
2022-01-08,Coimbatore,East,236178,2590,0,871,5300,11722
2022-01-08,Coimbatore,West,89986,3775,0,834,4143,26591
2022-01-08,Chennai,Central,212893,1411,1,943,10356,26389
2022-01-08,Chennai,North,116358,1043,0,873,18032,7198
2022-01-08,Chennai,South,241572,4342,0,946,15859,36419
2022-01-08,Chennai,East,168865,613,1,947,6841,20358
2022-01-08,Chennai,West,144914,4666,0,819,16596,38572
2022-01-08,Madurai,Central,182351,3677,1,823,14880,24063
2022-01-08,Madurai,North,117642,4323,0,913,5186,32856
2022-01-08,Madurai,South,52573,4716,0,824,19685,46401
2022-01-08,Madurai,East,176678,904,0,945,7475,36653
2022-01-08,Madurai,West,207729,4783,0,905,18725,45760
2022-01-08,Trichy,Central,131182,745,1,897,16060,13646
2022-01-08,Trichy,North,240124,3572,0,921,5629,25609
2022-01-08,Trichy,South,151371,1486,0,835,15081,29063
2022-01-08,Trichy,East,205834,2954,0,853,4711,9853
2022-01-08,Trichy,West,170900,1885,0,947,17826,6762
2022-01-08,Salem,Central,213059,4020,0,908,8122,5481
2022-01-08,Salem,North,228376,253,0,872,17048,40111
2022-01-08,Salem,South,218976,1340,1,903,14312,18350
2022-01-08,Salem,East,74354,4326,0,907,10363,14650
2022-01-08,Salem,West,70581,2422,0,848,5004,26520
2022-01-09,Coimbatore,Central,230553,3740,0,846,3341,49623
2022-01-09,Coimbatore,North,140327,438,1,948,13344,6750
2022-01-09,Coimbatore,South,235828,2521,0,824,13918,30064
2022-01-09,Coimbatore,East,172732,146,0,815,6806,46360
2022-01-09,Coimbatore,West,193254,3257,1,813,6430,13820
2022-01-09,Chennai,Central,74070,4332,0,871,19905,46786
2022-01-09,Chennai,North,187809,3394,1,945,19850,5614
2022-01-09,Chennai,South,137312,1282,0,907,15409,21514
2022-01-09,Chennai,East,184055,4378,0,838,8640,49547
2022-01-09,Chennai,West,104620,1020,1,815,15737,14323
2022-01-09,Madurai,Central,160017,410,0,833,6346,34430
2022-01-09,Madurai,North,77788,3910,0,845,18371,34629
2022-01-09,Madurai,South,232256,4672,0,815,12616,42129
2022-01-09,Madurai,East,155373,1020,0,883,14676,15816
2022-01-09,Madurai,West,82733,3860,0,941,4033,37913
2022-01-09,Trichy,Central,162573,4488,0,872,6494,20152
2022-01-09,Trichy,North,172744,1063,0,836,14260,46898
2022-01-09,Trichy,South,218645,906,1,845,10202,34757
2022-01-09,Trichy,East,84636,4967,0,947,18220,20934
2022-01-09,Trichy,West,219269,984,1,909,13593,45042
2022-01-09,Salem,Central,111665,924,0,802,16199,20876
2022-01-09,Salem,North,232020,153,1,808,13362,23297
2022-01-09,Salem,South,80448,1696,0,881,16551,29578
2022-01-09,Salem,East,209903,4169,0,924,12222,42443
2022-01-09,Salem,West,84701,1480,0,904,15239,28874
2022-01-10,Coimbatore,Central,93642,1087,0,875,15774,47520
2022-01-10,Coimbatore,North,114772,1518,0,923,2974,9133
2022-01-10,Coimbatore,South,202826,4072,0,945,10228,14903
2022-01-10,Coimbatore,East,184092,895,0,880,7233,14516
2022-01-10,Coimbatore,West,165005,2496,1,866,3591,16303
2022-01-10,Chennai,Central,211633,4030,1,832,9314,24623
2022-01-10,Chennai,North,248747,1804,0,844,15481,25670
2022-01-10,Chennai,South,119274,2569,0,932,18106,14017
2022-01-10,Chennai,East,118344,4621,0,906,13700,41509
2022-01-10,Chennai,West,92534,4098,0,801,18077,31588
2022-01-10,Madurai,Central,141659,394,0,812,11882,6136
2022-01-10,Madurai,North,178232,2164,0,897,14987,42311
2022-01-10,Madurai,South,81575,4870,0,873,11439,18281
2022-01-10,Madurai,East,111246,1535,0,836,7084,21661
2022-01-10,Madurai,West,194579,1987,1,867,16527,19859
2022-01-10,Trichy,Central,173797,985,0,919,18378,7353
2022-01-10,Trichy,North,204893,4899,0,924,13296,12813
2022-01-10,Trichy,South,81598,4099,1,857,13801,16745
2022-01-10,Trichy,East,76029,4933,1,898,8540,37232
2022-01-10,Trichy,West,249950,986,1,874,15998,18261
2022-01-10,Salem,Central,102307,3193,0,880,13645,33087
2022-01-10,Salem,North,147883,1088,1,900,18133,39450
2022-01-10,Salem,South,244488,4765,1,814,13425,6980
2022-01-10,Salem,East,229362,1955,1,823,17883,31385
2022-01-10,Salem,West,219230,2355,0,859,8573,10776
2022-01-11,Coimbatore,Central,217516,3480,0,826,15997,25017
2022-01-11,Coimbatore,North,211779,4544,0,823,14091,20251
2022-01-11,Coimbatore,South,172413,626,0,816,15547,39531
2022-01-11,Coimbatore,East,58712,1116,0,916,4433,21967
2022-01-11,Coimbatore,West,210831,3888,0,820,19773,46125
2022-01-11,Chennai,Central,207215,828,1,901,19162,37981
2022-01-11,Chennai,North,119298,1676,0,920,7791,13783
2022-01-11,Chennai,South,146347,2820,0,896,18385,11368
2022-01-11,Chennai,East,208496,4144,0,876,16451,48201
2022-01-11,Chennai,West,204470,189,0,942,5041,5105
2022-01-11,Madurai,Central,59078,527,0,860,8082,6925
2022-01-11,Madurai,North,167832,2370,0,913,5911,31289
2022-01-11,Madurai,South,184461,1207,0,926,2458,37975
2022-01-11,Madurai,East,247507,3561,1,926,2514,26288
2022-01-11,Madurai,West,145081,4209,0,811,12326,49555
2022-01-11,Trichy,Central,182632,1366,0,854,6780,23311
2022-01-11,Trichy,North,78380,3802,0,831,18690,29363
2022-01-11,Trichy,South,70049,2089,1,949,6644,7920
2022-01-11,Trichy,East,241387,854,0,892,18309,38120
2022-01-11,Trichy,West,211099,3988,1,823,10595,17803
2022-01-11,Salem,Central,75963,3553,1,849,17282,9703
2022-01-11,Salem,North,246200,1373,1,865,13171,17201
2022-01-11,Salem,South,79426,1494,0,924,17596,38297
2022-01-11,Salem,East,176503,3058,0,825,14765,16561
2022-01-11,Salem,West,247133,101,0,868,14197,9648
2022-01-12,Coimbatore,Central,216205,1625,1,910,2013,9599
2022-01-12,Coimbatore,North,85046,3255,0,869,5216,31616
2022-01-12,Coimbatore,South,117649,1352,0,844,5374,44198
2022-01-12,Coimbatore,East,168154,3181,0,813,12831,10724
2022-01-12,Coimbatore,West,170585,2991,1,800,8276,43663
2022-01-12,Chennai,Central,129530,2460,0,827,5178,11116
2022-01-12,Chennai,North,65563,2312,1,919,16135,22774
2022-01-12,Chennai,South,248350,2025,0,947,18001,5968
2022-01-12,Chennai,East,228686,1416,1,828,17360,44030
2022-01-12,Chennai,West,182130,4393,0,858,8980,34856
2022-01-12,Madurai,Central,190272,1329,0,819,4289,6239
2022-01-12,Madurai,North,246733,4165,0,828,17398,11638
2022-01-12,Madurai,South,56570,3349,0,837,14115,44062
2022-01-12,Madurai,East,72911,4503,1,923,6470,15225
2022-01-12,Madurai,West,173008,1114,0,895,15669,42380
2022-01-12,Trichy,Central,174398,4281,0,854,7238,20577
2022-01-12,Trichy,North,175354,3585,0,944,5719,5302
2022-01-12,Trichy,South,160448,4783,0,888,5072,36890
2022-01-12,Trichy,East,129134,3224,0,904,13865,13125
2022-01-12,Trichy,West,86059,4133,1,862,7704,12848
2022-01-12,Salem,Central,161279,2732,0,867,17740,40941
2022-01-12,Salem,North,79165,1767,0,881,3000,30426
2022-01-12,Salem,South,67772,3812,0,853,18838,31200
2022-01-12,Salem,East,101924,3826,0,942,11108,17178
2022-01-12,Salem,West,85643,1540,0,834,16437,49298
2022-01-13,Coimbatore,Central,241305,1061,0,802,8471,40631
2022-01-13,Coimbatore,North,81348,1277,0,932,18353,16556
2022-01-13,Coimbatore,South,208670,3471,0,842,18173,31987
2022-01-13,Coimbatore,East,128714,1104,1,906,11206,9431
2022-01-13,Coimbatore,West,109182,3288,1,824,10906,41914
2022-01-13,Chennai,Central,160350,4519,1,818,16113,11012
2022-01-13,Chennai,North,231187,472,0,826,11884,11894
2022-01-13,Chennai,South,194539,205,0,945,14289,49976
2022-01-13,Chennai,East,224668,2237,0,806,17710,49139
2022-01-13,Chennai,West,229785,3754,0,841,11667,17149
2022-01-13,Madurai,Central,150102,1945,0,919,11900,18673
2022-01-13,Madurai,North,138204,1400,1,936,6616,21393
2022-01-13,Madurai,South,177959,2525,0,871,8295,40993
2022-01-13,Madurai,East,177834,1416,0,818,5683,12227
2022-01-13,Madurai,West,212982,3373,1,946,18035,8040
2022-01-13,Trichy,Central,177556,1684,1,918,16996,46621
2022-01-13,Trichy,North,127231,2952,0,810,11160,32213
2022-01-13,Trichy,South,238856,869,0,806,13543,34371
2022-01-13,Trichy,East,232573,3702,0,901,12793,36007
2022-01-13,Trichy,West,220604,4231,0,896,9843,19210
2022-01-13,Salem,Central,66456,2014,0,812,8704,8713
2022-01-13,Salem,North,60756,2575,0,948,3735,13258
2022-01-13,Salem,South,95113,441,0,801,11686,37007
2022-01-13,Salem,East,181733,3983,0,876,17836,15526
2022-01-13,Salem,West,118910,1116,0,905,2632,8083
2022-01-14,Coimbatore,Central,210400,2031,1,802,3679,20901
2022-01-14,Coimbatore,North,148540,4543,1,917,10555,23752
2022-01-14,Coimbatore,South,148452,4137,0,831,19396,16023
2022-01-14,Coimbatore,East,60699,1623,1,941,18163,10782
2022-01-14,Coimbatore,West,174481,2508,0,874,7299,47685
2022-01-14,Chennai,Central,68073,3367,1,805,19826,29981
2022-01-14,Chennai,North,115450,2290,1,900,6107,36982
2022-01-14,Chennai,South,148864,4237,0,834,13421,12629
2022-01-14,Chennai,East,123861,3238,1,813,10264,17686
2022-01-14,Chennai,West,162020,4325,0,819,18127,33937
2022-01-14,Madurai,Central,186728,2085,0,853,10286,10901
2022-01-14,Madurai,North,212624,1233,1,924,17795,16138
2022-01-14,Madurai,South,216370,2060,1,940,17476,40732
2022-01-14,Madurai,East,67347,636,0,811,9967,16871
2022-01-14,Madurai,West,214685,3703,0,859,4494,17677
2022-01-14,Trichy,Central,167407,1984,0,929,7179,32286
2022-01-14,Trichy,North,89922,2053,0,929,5850,31526
2022-01-14,Trichy,South,169863,556,0,936,7448,33861
2022-01-14,Trichy,East,78141,982,0,943,10800,37003
2022-01-14,Trichy,West,96851,1738,0,900,3382,39171
2022-01-14,Salem,Central,222851,3392,0,923,6517,20422
2022-01-14,Salem,North,223540,867,0,806,3549,36174
2022-01-14,Salem,South,191028,2745,1,929,8548,42605
2022-01-14,Salem,East,204249,1000,0,881,16308,5671
2022-01-14,Salem,West,50163,564,0,938,6798,27420
2022-01-15,Coimbatore,Central,170575,4378,0,833,6719,33411
2022-01-15,Coimbatore,North,214433,4939,1,841,12636,35911
2022-01-15,Coimbatore,South,213856,3291,0,928,18955,8631
2022-01-15,Coimbatore,East,187244,1220,1,857,10906,32425
2022-01-15,Coimbatore,West,209674,2347,0,944,9099,30431
2022-01-15,Chennai,Central,106492,2248,0,886,5456,12788
2022-01-15,Chennai,North,78082,507,0,816,18531,27804
2022-01-15,Chennai,South,144439,3997,0,938,6531,43098
2022-01-15,Chennai,East,175426,662,0,804,10964,44261
2022-01-15,Chennai,West,174917,3523,0,937,11765,33270
2022-01-15,Madurai,Central,128815,3391,1,935,4376,36182
2022-01-15,Madurai,North,232051,1713,0,921,8910,39964
2022-01-15,Madurai,South,206299,869,0,894,5983,14503
2022-01-15,Madurai,East,241775,622,0,816,14232,27168
2022-01-15,Madurai,West,120119,3797,1,831,2685,23544
2022-01-15,Trichy,Central,242404,4166,0,918,18422,15736
2022-01-15,Trichy,North,87643,1356,0,948,9165,20997
2022-01-15,Trichy,South,129751,401,1,934,16571,47719
2022-01-15,Trichy,East,239013,761,1,821,18140,24921
2022-01-15,Trichy,West,194129,4408,1,826,17921,49638
2022-01-15,Salem,Central,227558,4283,0,821,5754,32044
2022-01-15,Salem,North,117260,1476,0,917,18406,34725
2022-01-15,Salem,South,186998,1404,1,910,10553,41495
2022-01-15,Salem,East,246167,1384,1,931,17463,26727
2022-01-15,Salem,West,145081,3662,0,948,5967,44213
2022-01-16,Coimbatore,Central,130102,1022,0,911,7132,24363
2022-01-16,Coimbatore,North,228773,2381,1,853,5083,31832
2022-01-16,Coimbatore,South,244509,1137,1,920,17379,41751
2022-01-16,Coimbatore,East,150082,3995,0,931,11596,43019
2022-01-16,Coimbatore,West,157539,2029,1,836,9909,43356
2022-01-16,Chennai,Central,52023,2552,0,803,3080,42804
2022-01-16,Chennai,North,196451,2420,0,803,5292,34197
2022-01-16,Chennai,South,119122,4531,0,931,5959,16005
2022-01-16,Chennai,East,159079,261,0,946,13154,49848
2022-01-16,Chennai,West,118926,4601,0,875,2541,26817
2022-01-16,Madurai,Central,218933,3074,1,818,18044,34411
2022-01-16,Madurai,North,55469,4378,1,945,2830,6651
2022-01-16,Madurai,South,231360,2910,1,846,15258,21184
2022-01-16,Madurai,East,83787,1936,0,803,19043,35447
2022-01-16,Madurai,West,178046,2110,0,846,18230,19472
2022-01-16,Trichy,Central,53471,936,0,860,10329,39865
2022-01-16,Trichy,North,96850,3796,0,917,4757,29570
2022-01-16,Trichy,South,133820,2710,1,834,7017,21370
2022-01-16,Trichy,East,144788,2103,1,873,12595,31201
2022-01-16,Trichy,West,200787,4833,1,928,4839,8384
2022-01-16,Salem,Central,93619,1961,0,859,9531,42051
2022-01-16,Salem,North,188808,1719,0,835,17261,6431
2022-01-16,Salem,South,218553,2561,0,934,2162,39742
2022-01-16,Salem,East,69675,369,0,879,4014,14833
2022-01-16,Salem,West,57896,304,0,872,7347,35314
2022-01-17,Coimbatore,Central,183715,2397,0,820,16531,22073
2022-01-17,Coimbatore,North,152304,3241,1,947,13918,46903
2022-01-17,Coimbatore,South,115428,1549,1,919,15183,27669
2022-01-17,Coimbatore,East,201716,2461,1,868,3753,36703
2022-01-17,Coimbatore,West,76928,2038,0,884,12123,21376
2022-01-17,Chennai,Central,187660,524,0,916,17352,38365
2022-01-17,Chennai,North,69446,2436,0,860,2572,12521
2022-01-17,Chennai,South,204553,2190,0,885,14464,26008
2022-01-17,Chennai,East,248241,1617,0,864,17177,18140
2022-01-17,Chennai,West,176468,1637,0,856,5137,5097
2022-01-17,Madurai,Central,146111,4630,0,885,10535,29487
2022-01-17,Madurai,North,80651,4766,0,862,12800,42823
2022-01-17,Madurai,South,113878,2424,0,926,11283,35573
2022-01-17,Madurai,East,128707,2891,1,915,16939,5781
2022-01-17,Madurai,West,164586,3148,0,827,9193,34118
2022-01-17,Trichy,Central,150417,4070,1,896,19961,46971
2022-01-17,Trichy,North,68658,4969,0,822,15489,43314
2022-01-17,Trichy,South,213730,4502,0,811,18391,38243
2022-01-17,Trichy,East,202872,2311,0,871,8710,26384
2022-01-17,Trichy,West,202110,2385,0,841,8971,34139
2022-01-17,Salem,Central,135445,3439,0,879,8530,16116
2022-01-17,Salem,North,115794,382,0,839,8629,48936
2022-01-17,Salem,South,175147,3300,0,807,2612,22071
2022-01-17,Salem,East,70074,712,0,909,7906,7591
2022-01-17,Salem,West,175576,4058,1,862,12102,6283
2022-01-18,Coimbatore,Central,83691,1225,1,858,10438,25095
2022-01-18,Coimbatore,North,197226,1660,0,824,2226,20036
2022-01-18,Coimbatore,South,147756,364,1,933,18299,35090
2022-01-18,Coimbatore,East,233214,1999,0,930,2587,17763
2022-01-18,Coimbatore,West,240237,1085,0,833,14328,11450
2022-01-18,Chennai,Central,194302,4533,1,822,13439,46855
2022-01-18,Chennai,North,131557,1774,1,890,11122,17576
2022-01-18,Chennai,South,239139,3040,0,865,6578,14127
2022-01-18,Chennai,East,191559,255,0,947,5830,46814
2022-01-18,Chennai,West,137960,4728,0,916,19332,49333
2022-01-18,Madurai,Central,189251,559,0,936,14130,34516
2022-01-18,Madurai,North,237598,2357,0,933,9418,27746
2022-01-18,Madurai,South,117990,1566,0,919,8701,7597
2022-01-18,Madurai,East,246749,2759,0,834,15970,43429
2022-01-18,Madurai,West,62109,695,0,887,6249,39518
2022-01-18,Trichy,Central,103909,2067,1,909,17282,24330
2022-01-18,Trichy,North,202850,2431,0,870,9230,16002
2022-01-18,Trichy,South,63947,4828,0,941,19317,39228
2022-01-18,Trichy,East,232947,2612,0,863,8816,16639
2022-01-18,Trichy,West,114307,1862,0,877,2040,10827
2022-01-18,Salem,Central,213834,167,1,801,18232,45572
2022-01-18,Salem,North,139709,4108,1,815,4524,14277
2022-01-18,Salem,South,147136,2579,0,834,2778,34165
2022-01-18,Salem,East,240001,1592,0,868,15615,49900
2022-01-18,Salem,West,224018,2144,0,936,15635,30634
2022-01-19,Coimbatore,Central,59168,4677,1,864,15319,28852
2022-01-19,Coimbatore,North,82174,1547,0,875,8317,47856
2022-01-19,Coimbatore,South,76649,505,0,850,11765,35483
2022-01-19,Coimbatore,East,243016,3840,0,854,19862,48355
2022-01-19,Coimbatore,West,212331,871,0,866,13093,5193
2022-01-19,Chennai,Central,150311,1285,0,904,11984,37327
2022-01-19,Chennai,North,92070,4105,0,944,8716,26259
2022-01-19,Chennai,South,78933,829,1,923,14728,15332
2022-01-19,Chennai,East,92604,2900,0,941,7410,22839
2022-01-19,Chennai,West,237116,4896,0,845,19543,42418
